ORCL,20150227,43.77,44.11,43.68,43.82,9549500
ORCL,20150226,43.8,44.15,43.71,43.89,8519300
ORCL,20150225,43.83,44.09,43.38,43.73,11785400
ORCL,20150224,43.79,43.96,43.38,43.88,10522500
ORCL,20150223,43.46,43.88,43.3,43.78,10995500
ORCL,20150220,44.06,44.09,43.46,43.77,14731200
ORCL,20150219,44.13,44.37,44,44.11,8465700
ORCL,20150218,43.71,44.11,43.65,44.1,8661100
ORCL,20150217,43.67,43.9,43.54,43.84,10118600
ORCL,20150213,43.8,44.23,43.8,43.93,10155700
ORCL,20150212,43.48,44.06,43.41,43.89,12519700
ORCL,20150211,43.96,44,43.09,43.36,12836900
ORCL,20150210,43.79,44.06,43.56,43.99,12714800
ORCL,20150209,42.63,43.63,42.63,43.4,12705700
ORCL,20150206,43.26,43.47,42.88,42.98,9404500
ORCL,20150205,42.5,43.24,42.5,43.16,9630300
